id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
91,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,PERTAMBANGAN MINYAK BUMI DAN GAS ALAM DAN PANAS BUMI,0.0,USAHA,2024
92,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,PERTAMBANGAN BIJIH LOGAM,0.0,USAHA,2024
93,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,PERTAMBANGAN DAN PENGGALIAN LAINNYA,0.0,USAHA,2024
94,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,AKTIVITAS JASA PENUNJANG PERTAMBANGAN,0.0,USAHA,2024
95,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,INDUSTRI MAKANAN,6.721,USAHA,2024
96,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,INDUSTRI MINUMAN,335.0,USAHA,2024
97,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,INDUSTRI PENGOLAHAN TEMBAKAU,2.0,USAHA,2024
98,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,INDUSTRI TEKSTIL,32.0,USAHA,2024
99,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14,INDUSTRI PAKAIAN JADI,568.0,USAHA,2024
100,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15,INDUSTRI KULIT DAN BARANG DARI KULIT,34.0,USAHA,2024
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16,"INDUSTRI KAYU, BARANG DARI KAYU DAN GABUS",296.0,USAHA,2024
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,17,INDUSTRI KERTAS DAN BARANG DARI KERTAS,0.0,USAHA,2024
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,18,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,35.0,USAHA,2024
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19,INDUSTRI PRODUK DARI BATU BARA DAN PENGILANGAN MINYAK BUMI,0.0,USAHA,2024
